"species","flight_type"
"Libellula vibrans","percher"
"Macrodiplax balteata","percher"
"Macrothemis imitans","percher"
"Macrothemis inacuta","percher"
"Macrothemis inequiunguis","percher"
"Macrothemis pseudimitans","percher"
"Miathyria marcella",NA
"Micrathyria aequalis","percher"
"Micrathyria didyma","percher"
"Micrathyria dissocians","percher"
"Micrathyria hagenii","percher"
"Nannothemis bella","percher"
"Orthemis discolor",NA
"Orthemis ferruginea",NA
"Orthemis sp.",NA
"Pachydiplax longipennis","percher"
"Paltothemis lineatipes","percher"
"Pantala flavescens","flyer"
"Pantala hymenaea","flyer"
"Perithemis domitia","percher"
"Perithemis intensa","percher"
"Perithemis tenera","percher"
"Planiplax sanguiniventris","percher"
"Plathemis lydia","percher"
"Plathemis subornata","percher"
"Pseudoleon superbus","percher"
"Sympetrum ambiguum","percher"
"Sympetrum corruptum","percher"
"Sympetrum costiferum","percher"
"Sympetrum danae","percher"
"Sympetrum illotum","percher"
"Sympetrum internum","percher"
"Sympetrum madidum","percher"
"Sympetrum obtrusum","percher"
"Sympetrum pallipes","percher"
"Sympetrum rubicundulum","percher"
"Sympetrum semicinctum","percher"
"Sympetrum signiferum","percher"
"Sympetrum vicinum","percher"
"Tauriphila argo","flyer"
"Tauriphila australis","flyer"
"Tauriphila azteca","flyer"
"Tholymis citrina",NA
"Tramea abdominalis",NA
"Tramea binotata",NA
"Tramea carolina",NA
"Tramea darwini",NA
"Tramea insularis",NA
"Tramea lacerata",NA
"Tramea onusta",NA
